# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.12.2

tpback::b, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940999A0B063A7BA9017909405B400000000000017A09C0771036E434FF380570697463680841B065130379617708C31B2B34
tpback::c, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940998BAD80453D67017909405BC00000000000017A09C0752564A17C044A0570697463680841B065130379617708C31B2B34
"tpback::dead village 1", location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940920B90BAD9D84E017909405263EFFC93F23A017A094073BADA30F7EFD20570697463680841D9335F037961770841D33740
"tpback::netherite village", location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094094ED2938C4D8ED017909405D49C138F2F48A017A09C06FF4016750F980057069746368084179970E0379617708C2417A38
tpback::pillager, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809408DF2C8C7E848AA0179094063400000000000017A09403086C62885061A0570697463680841D200B80379617708C26666C8
"tpback::pillager camp", location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809408DD5ABF3AE256E0179094060C61A8D99E91A017A0940632B9B24CEAE5B057069746368084222005703796177084330FFDC
tpback::r, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940997B234AC0ECD9017909405CDFA3543CA918017A09C0767A44289A28C10570697463680841B065130379617708C31B2B34
traveler_debug_active, boolean, 00
unit_state::0e706d03-ef04-42fc-aa73-515375687773::last_called, date, 810974696D657374616D70040000019C48C3C86B
unit_state::2ba128a2-8355-4f78-ac8e-725156b5dd09::last_called, date, 810974696D657374616D70040000019C48C3C86C
unit_state::4ba5a834-951f-45f1-8a35-a88b8ba5d86d::last_called, date, 810974696D657374616D70040000019C48C3DA65
unit_state::4e646740-87e7-4117-b4b8-f734568ec3aa::last_called, date, 810974696D657374616D70040000019C48C3DA64
unit_state::8e08143c-846d-436b-b182-c95a750d54dd::last_called, date, 810974696D657374616D70040000019C48C3DA65
unit_state::75a1f8dd-27f3-4092-a906-8323b6ab80cd::last_called, date, 810974696D657374616D70040000019C48C3DA65
unit_state::098be7c9-a57f-449d-9aad-e05be8519f35::last_called, date, 810974696D657374616D70040000019C48C3C86E
unit_state::3576e032-acfe-4502-bca1-6c52b579fac9::last_called, date, 810974696D657374616D70040000019C48C3DA64
unit_state::89541a9e-14ce-4918-8e6f-6b21e5266f79::last_called, date, 810974696D657374616D70040000019C48C3DA64
unit_state::283440df-8aa8-4483-a0f5-4478767dc235::last_called, date, 810974696D657374616D70040000019C48C3C86B
unit_state::ab1f9cf2-1355-4c6d-a653-d06ef129711e::last_called, date, 810974696D657374616D70040000019C48C3DA64
unit_state::c8fb0041-6f25-4b4d-8d63-ff68bf9e4f7a::last_called, date, 810974696D657374616D70040000019C48C3C86B
unit_state::d991d3a6-e87e-4ee5-9809-5f67cbdd289e::last_called, date, 810974696D657374616D70040000019C48C3DA63
unit_state::d404683b-522b-4fbf-9a57-56f9c664d4d3::last_called, date, 810974696D657374616D70040000019C48C3DA64
unit_state::de9dd381-19ee-462b-b6b6-cc4d17d6992c::last_called, date, 810974696D657374616D70040000019C48C3C86B
unit_state::e6fe019c-73f8-4209-9acd-397ad1b89193::last_called, date, 810974696D657374616D70040000019C48C3DA64
unit_state::fc0ea3c1-0c62-468d-a819-0843a4046a53::last_called, date, 810974696D657374616D70040000019C48C3C86B
witch_debug, boolean, 00
witch_hut::alive::2, boolean, 00
witch_status_cache::1, string, 8046C2A761416C69766520C2A73728783A203233302C20793A203132342C207A3A203830332C207961773A202D33392E37312C2070697463683A203020696E2027776F726C642729
wither_debug_active, boolean, 00
wither_system_active, boolean, 00

